batch_size,generate_latency_ms,forward_latency_ms
1,217.50099182128906,50.90243148803711
2,215.1242218017578,90.86198425292969
3,218.63731384277344,129.68716430664062
4,217.72486877441406,174.69161987304688
5,221.60841369628906,205.0316162109375
6,220.2392578125,251.9265899658203
7,261.1212158203125,267.5177307128906
8,248.39590454101562,318.3037109375
9,242.686279296875,351.4205017089844
10,243.58953857421875,393.0206298828125
11,243.19676208496094,440.7061462402344
12,248.08457946777344,459.542724609375
13,249.6161651611328,504.99462890625
14,247.62841796875,518.9325561523438
15,262.37896728515625,571.6343383789062
16,264.3919372558594,588.7050170898438
17,265.276123046875,640.620361328125
18,265.949951171875,685.3799438476562
19,268.66082763671875,797.39208984375
20,269.11138916015625,836.7889404296875
21,269.82568359375,846.4590454101562
22,270.8843688964844,882.2064819335938
23,270.3742370605469,889.2185668945312
24,273.3017272949219,928.4427490234375
25,274.09490966796875,959.17236328125
26,275.191162109375,970.3287963867188
27,275.1384582519531,1004.7982788085938
28,275.5383605957031,1014.9815063476562
29,278.93231201171875,1129.51953125
30,280.0291748046875,1129.77099609375
31,280.54791259765625,1207.11962890625
32,280.1304626464844,1179.771728515625
33,325.74835205078125,1262.732421875
34,328.4974060058594,1292.36328125
35,328.697265625,1302.75390625
36,329.46844482421875,1334.1806640625
37,329.7635192871094,1340.9114990234375
38,332.6116027832031,1453.8114013671875
39,333.4881591796875,1464.8082275390625
40,333.2048034667969,1498.556396484375
41,333.6533203125,1538.2205810546875
42,334.1156311035156,1550.6595458984375
43,336.08660888671875,1613.7171630859375
44,337.4236755371094,1627.31591796875
45,337.6826477050781,1663.1427001953125
46,335.2884521484375,1677.5955810546875
47,338.72601318359375,1699.945556640625
48,337.78411865234375,1816.1451416015625
49,341.20458984375,1850.95849609375
50,341.8831481933594,1881.875732421875
51,342.3177490234375,1895.7528076171875
52,344.9317626953125,1927.0538330078125
53,345.2106628417969,1940.80859375
54,346.1311340332031,1974.4481201171875
55,346.72296142578125,1986.233642578125
56,346.6684875488281,2019.4073486328125
57,349.6627502441406,2119.6298828125
58,349.5083923339844,2152.020751953125
59,349.9030456542969,2199.777099609375
60,350.3381652832031,2214.188720703125
61,350.70269775390625,2246.116455078125
62,353.52978515625,2290.28759765625
63,353.8121337890625,2325.933837890625
64,353.84271240234375,2343.566162109375
65,532.5076904296875,2347.672119140625
66,533.7285766601562,2377.394287109375
67,535.598388671875,2505.63525390625
68,535.99755859375,2539.81591796875
69,535.7725219726562,2561.35595703125
70,535.9201049804688,2590.1201171875
71,543.6893310546875,2610.287353515625
72,543.869140625,2644.392822265625
73,540.228515625,2665.43994140625
74,540.2703247070312,2707.302978515625
75,540.5542602539062,2737.71875
76,542.2041625976562,2832.10888671875
77,548.3358764648438,2870.33740234375
78,547.3305053710938,2889.671630859375
79,552.2952270507812,2927.24658203125
80,548.2564086914062,2946.362060546875
81,547.31591796875,2979.068115234375
82,547.9547729492188,3002.79296875
83,547.6298217773438,3049.050537109375
84,547.6331176757812,3074.51953125
85,550.02783203125,3148.368896484375
86,549.8907470703125,3210.02734375
87,550.4092407226562,3227.654541015625
88,555.5299072265625,3263.954345703125
89,556.2907104492188,3279.974609375
90,558.42333984375,3314.554443359375
91,558.9249267578125,3339.5654296875
92,559.3885498046875,3373.9765625
93,555.6453857421875,3398.4560546875
94,559.9852294921875,3423.07763671875
95,561.9528198242188,3527.52734375
96,557.3404541015625,3551.992431640625
97,572.1256713867188,3590.46240234375
98,572.1146240234375,3605.80126953125
99,574.3499145507812,3642.756103515625
